NCBI_ID	Title
XR_009832334.1	PREDICTED: Apis cerana uncharacterized LOC108002639 (LOC108002639), transcript variant X3, ncRNA
XR_001766897.3	PREDICTED: Apis cerana uncharacterized LOC108002639 (LOC108002639), transcript variant X2, ncRNA
XR_009832333.1	PREDICTED: Apis cerana uncharacterized LOC108002639 (LOC108002639), transcript variant X1, ncRNA
XM_062083467.1	PREDICTED: Apis cerana uncharacterized LOC107996989 (LOC107996989), transcript variant X2, mRNA
XM_062083466.1	PREDICTED: Apis cerana uncharacterized LOC107996989 (LOC107996989), transcript variant X1, mRNA
XM_062083411.1	PREDICTED: Apis cerana methylcytosine dioxygenase TET (LOC107995534), transcript variant X7, mRNA
XR_009832242.1	PREDICTED: Apis cerana polycomb group protein Pc (LOC108003700), transcript variant X7, misc_RNA
XR_009832240.1	PREDICTED: Apis cerana polycomb group protein Pc (LOC108003700), transcript variant X5, misc_RNA
XM_028669639.2	PREDICTED: Apis cerana polycomb group protein Pc (LOC108003700), transcript variant X4, mRNA
XM_062083040.1	PREDICTED: Apis cerana chromodomain-helicase-DNA-binding protein 7 (LOC107998877), transcript variant X3, mRNA
XM_062083039.1	PREDICTED: Apis cerana chromodomain-helicase-DNA-binding protein 7 (LOC107998877), transcript variant X2, mRNA
XM_062082726.1	PREDICTED: Apis cerana neprilysin-2 (LOC108003716), transcript variant X3, mRNA
XR_009832119.1	PREDICTED: Apis cerana uncharacterized LOC114576991 (LOC114576991), transcript variant X2, ncRNA
XR_003696647.2	PREDICTED: Apis cerana uncharacterized LOC114576991 (LOC114576991), transcript variant X1, ncRNA
XR_001765655.3	PREDICTED: Apis cerana uncharacterized LOC107995804 (LOC107995804), ncRNA
XM_017053468.3	PREDICTED: Apis cerana uncharacterized LOC107995791 (LOC107995791), transcript variant X2, mRNA
XM_062082268.1	PREDICTED: Apis cerana intermembrane lipid transfer protein VPS13C (LOC107995743), mRNA
XM_062082230.1	PREDICTED: Apis cerana ceramide glucosyltransferase (LOC107995758), mRNA
XR_009831972.1	PREDICTED: Apis cerana uncharacterized LOC107995087 (LOC107995087), transcript variant X2, ncRNA
XR_009831971.1	PREDICTED: Apis cerana uncharacterized LOC107995087 (LOC107995087), transcript variant X1, ncRNA
XM_062081866.1	PREDICTED: Apis cerana small conductance calcium-activated potassium channel protein (LOC107995571), transcript variant X5, mRNA
XM_062081865.1	PREDICTED: Apis cerana small conductance calcium-activated potassium channel protein (LOC107995571), transcript variant X4, mRNA
XM_062081864.1	PREDICTED: Apis cerana small conductance calcium-activated potassium channel protein (LOC107995571), transcript variant X3, mRNA
XM_062081863.1	PREDICTED: Apis cerana small conductance calcium-activated potassium channel protein (LOC107995571), transcript variant X2, mRNA
XM_062081862.1	PREDICTED: Apis cerana small conductance calcium-activated potassium channel protein (LOC107995571), transcript variant X1, mRNA
XM_017055663.3	PREDICTED: Apis cerana UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit (LOC107997223), transcript variant X2, mRNA
XM_017055662.3	PREDICTED: Apis cerana UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit (LOC107997223), transcript variant X1, mRNA
XM_017049248.3	PREDICTED: Apis cerana serine-enriched protein (LOC107993055), transcript variant X13, mRNA
XM_028664429.2	PREDICTED: Apis cerana serine-enriched protein (LOC107993055), transcript variant X12, mRNA
XM_028664428.2	PREDICTED: Apis cerana serine-enriched protein (LOC107993055), transcript variant X11, mRNA
XM_062081090.1	PREDICTED: Apis cerana serine-enriched protein (LOC107993055), transcript variant X8, mRNA
XM_062081087.1	PREDICTED: Apis cerana serine-enriched protein (LOC107993055), transcript variant X5, mRNA
XM_062081084.1	PREDICTED: Apis cerana serine-enriched protein (LOC107993055), transcript variant X1, mRNA
XM_062080975.1	PREDICTED: Apis cerana TBC1 domain family member 14-like (LOC108001178), transcript variant X5, mRNA
XM_062080667.1	PREDICTED: Apis cerana F-box/LRR-repeat protein 14 (LOC108002249), mRNA
XM_062080183.1	PREDICTED: Apis cerana protein vein (LOC107999483), transcript variant X1, mRNA
XM_062080176.1	PREDICTED: Apis cerana uncharacterized LOC107999482 (LOC107999482), transcript variant X6, mRNA
XM_062079996.1	PREDICTED: Apis cerana protein purity of essence (LOC108003763), transcript variant X6, mRNA
XM_062079995.1	PREDICTED: Apis cerana protein purity of essence (LOC108003763), transcript variant X5, mRNA
XM_062079994.1	PREDICTED: Apis cerana protein purity of essence (LOC108003763), transcript variant X4, mRNA
XM_062079864.1	PREDICTED: Apis cerana sodium channel protein 60E (LOC107995425), transcript variant X8, mRNA
XM_062079863.1	PREDICTED: Apis cerana sodium channel protein 60E (LOC107995425), transcript variant X7, mRNA
XM_062079862.1	PREDICTED: Apis cerana sodium channel protein 60E (LOC107995425), transcript variant X6, mRNA
XM_062079861.1	PREDICTED: Apis cerana sodium channel protein 60E (LOC107995425), transcript variant X5, mRNA
XM_062079860.1	PREDICTED: Apis cerana sodium channel protein 60E (LOC107995425), transcript variant X4, mRNA
XM_062079859.1	PREDICTED: Apis cerana sodium channel protein 60E (LOC107995425), transcript variant X3, mRNA
XM_062079858.1	PREDICTED: Apis cerana sodium channel protein 60E (LOC107995425), transcript variant X2, mRNA
XM_062079857.1	PREDICTED: Apis cerana sodium channel protein 60E (LOC107995425), transcript variant X1, mRNA
XM_017056157.3	PREDICTED: Apis cerana protein still life, isoform SIF type 1 (LOC107997512), transcript variant X26, mRNA
XM_017056156.3	PREDICTED: Apis cerana protein still life, isoform SIF type 1 (LOC107997512), transcript variant X25, mRNA
XR_003697643.2	PREDICTED: Apis cerana uncharacterized LOC114577499 (LOC114577499), ncRNA
XR_009831109.1	PREDICTED: Apis cerana uncharacterized LOC108001397 (LOC108001397), transcript variant X5, ncRNA
XR_009831105.1	PREDICTED: Apis cerana uncharacterized LOC108001397 (LOC108001397), transcript variant X1, ncRNA
XM_062079171.1	PREDICTED: Apis cerana sodium channel protein para (LOC108001020), transcript variant X3, mRNA
XM_017060075.3	PREDICTED: Apis cerana dynein beta chain, ciliary-like (LOC107999984), mRNA
XM_062078435.1	PREDICTED: Apis cerana basement membrane-specific heparan sulfate proteoglycan core protein (LOC108001671), transcript variant X7, mRNA
XM_062078434.1	PREDICTED: Apis cerana basement membrane-specific heparan sulfate proteoglycan core protein (LOC108001671), transcript variant X6, mRNA
XM_062078432.1	PREDICTED: Apis cerana basement membrane-specific heparan sulfate proteoglycan core protein (LOC108001671), transcript variant X4, mRNA
XM_062078430.1	PREDICTED: Apis cerana basement membrane-specific heparan sulfate proteoglycan core protein (LOC108001671), transcript variant X3, mRNA
